Date,Open,Close
2019-12-02,197.98,194.87
2019-12-03,196.8,198.92
2019-12-04,193.74,198.43
2019-12-05,196.85,195.66
2019-12-06,199.32,194.92
2019-12-07,198.63,196.06
2019-12-08,197.93,197.19
2019-12-09,197.24,198.33
2019-12-10,197.69,196.01
2019-12-11,197.0,197.39
2019-12-12,199.51,197.29
2019-12-13,201.69,199.56
2019-12-14,202.82,201.46
2019-12-15,203.96,203.35
2019-12-16,205.09,205.24
2019-12-17,205.73,202.43
2019-12-18,201.19,204.55
2019-12-19,202.33,199.86
2019-12-20,204.7,202.18
2019-12-21,204.15,202.25
2019-12-22,203.61,202.31
2019-12-23,203.07,202.38
2019-12-24,206.18,204.2
2019-12-25,206.6,204.28
2019-12-26,207.02,204.35
2019-12-27,202.57,204.89
2019-12-28,202.51,203.56
2019-12-29,202.44,202.23
2019-12-30,202.38,200.9
2019-12-31,200.6,202.67
