Date,Open,High,Low,Close
2025-06-16,234.0,242.75,230.1999969482422,235.3000030517578
2025-06-17,235.5500030517578,235.89999389648438,213.55999755859375,215.86000061035156
2025-06-18,216.6999969482422,225.5500030517578,212.9199981689453,222.0
2025-06-19,220.8800048828125,223.9499969482422,213.00999450683594,215.27000427246094
2025-06-20,215.35000610351562,220.60000610351562,212.1999969482422,219.60000610351562
2025-06-23,218.99000549316406,230.50999450683594,217.0,227.72999572753906
2025-06-24,228.0,228.4199981689453,220.1999969482422,221.69000244140625
2025-06-25,222.3000030517578,226.8000030517578,221.77999877929688,223.8300018310547
2025-06-26,224.60000610351562,225.5,220.8000030517578,222.27000427246094
2025-06-27,223.35000610351562,228.89999389648438,222.16000366210938,227.0399932861328
2025-06-30,228.10000610351562,228.27000427246094,223.1999969482422,223.80999755859375
2025-07-01,225.0,227.08999633789062,223.6999969482422,225.11000061035156
2025-07-02,226.0,227.41000366210938,222.3000030517578,224.32000732421875
2025-07-03,224.32000732421875,224.32000732421875,221.25999450683594,222.0399932861328
2025-07-04,222.60000610351562,224.64999389648438,220.10000610351562,221.42999267578125
2025-07-07,222.5,231.75,222.3000030517578,228.36000061035156
2025-07-08,229.10000610351562,229.58999633789062,223.5500030517578,225.85000610351562
2025-07-09,226.6999969482422,228.72999572753906,223.69000244140625,224.8300018310547
2025-07-10,225.39999389648438,227.24000549316406,221.75,223.55999755859375
2025-07-11,223.55999755859375,224.4600067138672,220.6999969482422,221.66000366210938
2025-07-14,221.0,221.66000366210938,215.47000122070312,217.35000610351562
