Date,Open,High,Low,Close
2025-06-16,132.75,132.99000549316406,132.0,132.75
2025-06-17,130.08999633789062,132.75,130.08999633789062,130.08999633789062
2025-06-18,130.0,130.0,130.0,130.0
2025-06-19,127.4000015258789,129.9499969482422,127.4000015258789,127.4000015258789
2025-06-20,129.94000244140625,129.94000244140625,127.30000305175781,129.94000244140625
2025-06-23,130.5800018310547,130.5800018310547,129.92999267578125,130.5800018310547
2025-06-24,131.0500030517578,133.0,131.0500030517578,131.0500030517578
2025-06-25,131.57000732421875,131.57000732421875,131.0,131.57000732421875
2025-06-26,134.1999969482422,134.1999969482422,131.6300048828125,134.1999969482422
2025-06-27,136.8800048828125,136.8800048828125,136.0,136.8800048828125
2025-06-30,143.6199951171875,143.72000122070312,139.6199951171875,143.72000122070312
2025-07-01,149.75,150.89999389648438,149.6999969482422,150.89999389648438
2025-07-02,158.42999267578125,158.44000244140625,156.0,158.44000244140625
2025-07-03,165.83999633789062,166.36000061035156,165.69000244140625,166.36000061035156
2025-07-04,174.6699981689453,174.6699981689453,174.6699981689453,174.6699981689453
2025-07-07,183.39999389648438,183.39999389648438,183.39999389648438,183.39999389648438
2025-07-08,192.57000732421875,192.57000732421875,174.5500030517578,176.11000061035156
2025-07-09,172.5800018310547,174.5500030517578,172.5800018310547,172.5800018310547
2025-07-10,169.1199951171875,169.1199951171875,169.1199951171875,169.1199951171875
2025-07-11,165.72999572753906,165.72999572753906,165.72999572753906,165.72999572753906
2025-07-14,162.41000366210938,162.41000366210938,162.41000366210938,162.41000366210938
