Date,Open,High,Low,Close
2025-06-16,9.220000267028809,9.390000343322754,9.220000267028809,9.279999732971191
2025-06-17,9.279999732971191,9.699999809265137,9.25,9.329999923706055
2025-06-18,9.3100004196167,9.420000076293945,9.149999618530273,9.170000076293945
2025-06-19,9.170000076293945,9.300000190734863,9.0,9.029999732971191
2025-06-20,9.0,9.199999809265137,8.880000114440918,8.899999618530273
2025-06-23,8.899999618530273,8.989999771118164,8.800000190734863,8.850000381469727
2025-06-24,9.0600004196167,9.0600004196167,8.819999694824219,8.850000381469727
2025-06-25,9.020000457763672,9.1899995803833,8.949999809265137,8.979999542236328
2025-06-26,9.0,9.109999656677246,8.979999542236328,9.039999961853027
2025-06-27,9.149999618530273,9.149999618530273,9.029999732971191,9.09000015258789
2025-06-30,9.09000015258789,9.180000305175781,8.199999809265137,8.699999809265137
2025-07-01,8.8100004196167,9.220000267028809,8.789999961853027,9.140000343322754
2025-07-02,9.279999732971191,9.300000190734863,8.859999656677246,8.970000267028809
2025-07-03,9.140000343322754,9.289999961853027,9.010000228881836,9.130000114440918
2025-07-04,9.029999732971191,9.15999984741211,8.880000114440918,9.079999923706055
2025-07-07,9.039999961853027,9.170000076293945,8.960000038146973,9.010000228881836
2025-07-08,9.100000381469727,9.170000076293945,8.979999542236328,9.010000228881836
2025-07-09,9.109999656677246,9.109999656677246,8.920000076293945,9.0
2025-07-10,9.09000015258789,9.149999618530273,8.989999771118164,9.010000228881836
2025-07-11,9.09000015258789,9.100000381469727,8.970000267028809,9.0
2025-07-14,8.979999542236328,9.029999732971191,8.84000015258789,8.90999984741211
