Date,Open,Close
2025-01-01,579.15,570.0
2025-01-02,577.9,583.65
2025-01-03,567.9,581.7
2025-01-04,563.77,578.1
2025-01-05,559.63,574.5
2025-01-06,555.5,570.9
2025-01-07,551.85,562.65
2025-01-08,540.5,550.55
2025-01-09,528.8,542.5
2025-01-10,512.65,528.8
2025-01-11,506.77,522.2
2025-01-12,500.88,515.6
2025-01-13,495.0,509.0
2025-01-14,486.85,495.0
2025-01-15,486.1,493.45
2025-01-16,457.1,490.0
2025-01-17,440.55,455.0
2025-01-18,439.85,452.32
2025-01-19,439.15,449.63
2025-01-20,438.45,446.95
2025-01-21,425.95,439.95
2025-01-22,431.75,429.65
2025-01-23,452.3,440.0
2025-01-24,442.9,455.0
2025-01-25,436.63,449.02
2025-01-26,430.37,443.03
2025-01-27,424.1,437.05
2025-01-28,412.85,412.0
2025-01-29,409.35,405.15
2025-01-30,424.85,415.4
2025-01-31,426.8,416.05
2025-02-01,435.2,431.7
2025-02-02,427.03,433.45
2025-02-03,418.85,435.2
2025-02-04,423.55,427.0
2025-02-05,441.2,429.75
2025-02-06,444.55,444.95
2025-02-07,428.55,432.55
2025-02-08,424.0,432.03
2025-02-09,419.45,431.52
2025-02-10,414.9,431.0
2025-02-11,407.4,414.8
2025-02-12,414.5,401.5
2025-02-13,414.4,414.5
2025-02-14,401.95,419.2
2025-02-15,399.12,413.43
2025-02-16,396.28,407.67
2025-02-17,393.45,401.9
2025-02-18,377.7,394.95
2025-02-19,385.3,377.9
2025-02-20,390.3,386.05
2025-02-21,384.9,391.25
2025-02-22,383.52,389.13
2025-02-23,382.13,387.02
2025-02-24,380.75,384.9
2025-02-25,381.55,376.7
2025-02-26,378.85,380.43
2025-02-27,376.15,384.15
2025-02-28,358.85,370.0
2025-03-01,359.23,369.32
2025-03-02,359.62,368.63
2025-03-03,360.0,367.95
2025-03-04,365.9,358.0
2025-03-05,371.0,366.0
2025-03-06,386.1,382.5
2025-03-07,390.85,386.05
2025-03-08,383.48,389.02
2025-03-09,376.12,391.98
2025-03-10,368.75,394.95
2025-03-11,375.5,365.0
2025-03-12,371.2,375.0
2025-03-13,370.8,372.5
2025-03-14,370.9,372.99
2025-03-15,371.0,373.48
2025-03-16,371.1,373.96
2025-03-17,371.2,374.45
2025-03-18,371.2,371.2
2025-03-19,402.7,395.0
2025-03-20,422.95,408.75
2025-03-21,431.2,422.0
2025-03-22,432.42,426.48
2025-03-23,433.63,430.97
2025-03-24,434.85,435.45
2025-03-25,414.05,436.8
2025-03-26,417.2,414.05
2025-03-27,422.35,422.0
2025-03-28,424.7,424.0
2025-03-29,425.19,424.28
2025-03-30,425.68,424.55
2025-03-31,426.16,424.83
2025-04-01,426.65,425.1
2025-04-02,434.3,426.0
2025-04-03,466.45,425.5
2025-04-04,451.75,466.4
2025-04-05,447.25,444.27
2025-04-06,442.75,422.13
2025-04-07,438.25,400.0
2025-04-08,452.05,450.2
2025-04-09,444.5,450.1
2025-04-10,448.88,454.55
2025-04-11,453.25,459.0
2025-04-12,461.15,459.6
2025-04-13,469.05,460.2
