Date,Open,Close
2024-01-01,862.16,843.37
2024-01-02,859.77,862.31
2024-01-03,866.45,866.2
2024-01-04,873.28,866.45
2024-01-05,867.84,879.16
2024-01-06,864.6,876.86
2024-01-07,861.36,874.57
2024-01-08,858.12,872.28
2024-01-09,874.27,858.32
2024-01-10,877.46,847.36
2024-01-11,887.58,877.26
2024-01-12,913.5,896.5
2024-01-13,912.75,904.28
2024-01-14,912.0,912.05
2024-01-15,911.26,919.83
2024-01-16,906.67,917.24
2024-01-17,886.29,894.21
2024-01-18,871.38,886.29
2024-01-19,880.65,876.22
2024-01-20,866.96,873.77
2024-01-21,853.26,871.33
2024-01-22,839.57,868.89
2024-01-23,825.87,866.45
2024-01-24,878.86,832.35
2024-01-25,848.95,880.25
2024-01-26,852.28,874.52
2024-01-27,855.61,868.79
2024-01-28,858.93,863.06
2024-01-29,862.26,857.33
2024-01-30,856.23,862.21
2024-01-31,875.87,861.46
2024-02-01,862.66,879.21
2024-02-02,872.98,867.14
2024-02-03,873.56,870.85
2024-02-04,874.14,874.56
2024-02-05,874.72,878.26
2024-02-06,901.24,875.27
2024-02-07,896.05,911.11
2024-02-08,868.49,902.78
2024-02-09,878.36,855.28
2024-02-10,874.94,859.95
2024-02-11,871.51,864.62
2024-02-12,868.09,869.29
2024-02-13,883.84,862.31
2024-02-14,882.9,867.29
2024-02-15,887.03,877.06
2024-02-16,965.74,897.15
2024-02-17,968.21,925.41
2024-02-18,970.69,953.67
2024-02-19,973.16,981.94
2024-02-20,988.87,981.84
2024-02-21,938.92,991.91
2024-02-22,949.94,950.53
2024-02-23,957.11,949.94
2024-02-24,955.65,954.71
2024-02-25,954.19,959.47
2024-02-26,952.73,964.24
2024-02-27,940.86,958.31
2024-02-28,923.72,938.62
2024-03-01,941.06,954.12
2024-03-02,943.34,949.57
2024-03-03,945.62,945.02
2024-03-04,947.89,940.47
2024-03-05,976.4,952.88
2024-03-06,937.38,979.94
2024-03-07,930.8,945.0
2024-03-08,927.01,942.01
2024-03-09,923.22,939.02
2024-03-10,919.43,936.03
2024-03-11,915.64,933.04
2024-03-12,889.33,925.86
2024-03-13,834.4,890.27
2024-03-14,879.06,839.43
2024-03-15,876.76,877.11
2024-03-16,872.25,877.0
2024-03-17,867.73,876.88
2024-03-18,863.21,876.76
2024-03-19,856.88,862.36
2024-03-20,881.25,865.15
2024-03-21,878.81,883.39
2024-03-22,900.34,881.7
2024-03-23,905.25,888.07
2024-03-24,910.16,894.43
2024-03-25,915.07,900.8
2024-03-26,919.98,907.17
2024-03-27,910.71,932.09
2024-03-28,990.61,917.39
2024-03-29,990.54,942.0
2024-03-30,990.46,966.61
2024-03-31,990.39,991.22
2024-04-01,990.31,1015.83
2024-04-02,994.65,993.0
2024-04-03,1050.37,999.43
2024-04-04,1043.05,1060.34
2024-04-05,1028.24,1050.82
2024-04-06,1044.39,1047.88
2024-04-07,1060.54,1044.94
2024-04-08,1076.69,1042.0
2024-04-09,1038.11,1081.53
2024-04-10,1044.84,1041.75
2024-04-11,1030.34,1043.42
2024-04-12,1015.83,1045.09
2024-04-13,1004.48,1035.32
2024-04-14,993.14,1025.55
2024-04-15,981.79,1015.78
2024-04-16,987.72,981.69
