Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2023-08-21,19265.80078125,19584.44921875,19229.69921875,19439.19921875,960000
2023-08-28,19435.30078125,19458.55078125,19223.650390625,19298.349609375,1684200
2023-09-04,19819.94921875,19867.150390625,19432.849609375,19525.05078125,1434200
2023-09-11,20192.349609375,20222.44921875,19865.349609375,19890.0,1541600
2023-09-18,19674.25,20195.349609375,19657.5,20155.94921875,1164500
2023-09-25,19638.30078125,19766.650390625,19492.099609375,19678.19921875,1193200
2023-10-02,19653.5,19675.75,19333.599609375,19622.400390625,892800
2023-10-09,19751.05078125,19843.30078125,19480.5,19539.44921875,1068300
2023-10-16,19542.650390625,19849.75,19512.349609375,19737.25,994300
2023-10-23,19047.25,19556.849609375,18837.849609375,19521.599609375,906900
2023-10-30,19230.599609375,19276.25,18940.0,19053.400390625,1015300
2023-11-06,19425.349609375,19464.400390625,19309.69921875,19345.849609375,935000
2023-11-13,19731.80078125,19875.25,19414.75,19486.75,1000300
2023-11-20,19794.69921875,19875.150390625,19670.5,19731.150390625,869200
2023-11-27,20267.900390625,20291.55078125,19800.0,19844.650390625,1218200
2023-12-04,20969.400390625,21006.099609375,20507.75,20601.94921875,1728700
2023-12-11,21456.650390625,21492.30078125,20769.5,20965.30078125,1561300
2023-12-18,21349.400390625,21593.0,20976.80078125,21434.80078125,1425600
2023-12-25,21731.400390625,21801.44921875,21329.44921875,21365.19921875,1140000
2024-01-01,21710.80078125,21834.349609375,21500.349609375,21727.75,1378100
2024-01-08,21894.55078125,21928.25,21448.650390625,21747.599609375,1184300
2024-01-15,21622.400390625,22124.150390625,21285.55078125,22053.150390625,1824300
2024-01-22,21352.599609375,21750.25,21137.19921875,21716.69921875,1275300
2024-01-29,21853.80078125,22126.80078125,21429.599609375,21433.099609375,1937700
2024-02-05,21782.5,22053.30078125,21629.900390625,21921.05078125,1998400
2024-02-12,22040.69921875,22068.650390625,21530.19921875,21800.80078125,1701600
2024-02-19,22212.69921875,22297.5,21875.25,22103.44921875,1229700
2024-02-26,22338.75,22353.30078125,21860.650390625,22169.19921875,1374700
2024-03-04,22493.55078125,22525.650390625,22224.349609375,22403.5,1287200
2024-03-11,22023.349609375,22526.599609375,21905.650390625,22517.5,2158600
2024-03-18,22096.75,22180.69921875,21710.19921875,21990.099609375,1754800
2024-03-25,22326.900390625,22516.0,21947.55078125,21947.900390625,1148000
2024-04-01,22513.69921875,22619.0,22303.80078125,22455.0,1242300
2024-04-08,22519.400390625,22775.69921875,22503.75,22578.349609375,1094000
2024-04-15,22147.0,22427.44921875,21777.650390625,22339.05078125,1492200
2024-04-22,22419.94921875,22625.94921875,22198.150390625,22336.900390625,1551600
2024-04-29,22475.849609375,22794.69921875,22348.05078125,22475.55078125,1537900
2024-05-06,22055.19921875,22588.80078125,21932.400390625,22561.599609375,1492600
2024-05-13,22466.099609375,22502.150390625,21821.05078125,22027.94921875,1351900
2024-05-20,22957.099609375,23026.400390625,22404.55078125,22404.55078125,1269600
2024-05-27,22530.69921875,23110.80078125,22417.0,23038.94921875,1693300
2024-06-03,23290.150390625,23338.69921875,21281.44921875,23337.900390625,3168000
2024-06-10,23465.599609375,23490.400390625,23206.650390625,23319.150390625,1396600
2024-06-17,23501.099609375,23667.099609375,23398.19921875,23570.80078125,1491200
2024-06-24,24010.599609375,24174.0,23350.0,23382.30078125,1695300
2024-07-01,24323.849609375,24401.0,23992.69921875,23992.94921875,549600
2024-07-08,24502.150390625,24592.19921875,24141.80078125,24329.44921875,1441300
2024-07-15,24530.900390625,24854.80078125,24504.44921875,24587.599609375,1283300
2024-07-22,24834.849609375,24861.150390625,24074.19921875,24445.75,1902800
2024-07-29,24717.69921875,25078.30078125,24686.849609375,24943.30078125,1849900
2024-08-05,24367.5,24419.75,23893.69921875,24302.849609375,1643900
2024-08-12,24541.150390625,24563.900390625,24099.69921875,24320.05078125,1094500
2024-08-19,24823.150390625,24867.349609375,24522.94921875,24636.349609375,1166100
2024-08-26,25235.900390625,25268.349609375,24874.69921875,24906.099609375,1646200
2024-09-02,24852.150390625,25333.650390625,24801.30078125,25333.599609375,1222600
2024-09-09,25356.5,25433.349609375,24753.150390625,24823.400390625,1415800
2024-09-16,25790.94921875,25849.25,25285.55078125,25406.650390625,1448000
2024-09-23,26178.94921875,26277.349609375,25847.349609375,25872.55078125,1733000
2024-09-30,25014.599609375,26134.69921875,24966.80078125,26061.30078125,1388800
2024-10-07,24964.25,25234.05078125,24694.349609375,25084.099609375,1470000
2024-10-14,24854.05078125,25212.05078125,24567.650390625,25023.44921875,1234100
2024-10-21,24180.80078125,24978.30078125,24073.900390625,24956.150390625,1395400
2024-10-28,24304.349609375,24498.19921875,24134.900390625,24251.099609375,1221600
2024-11-04,24148.19921875,24537.599609375,23816.150390625,24315.75,1547000
2024-11-11,23532.69921875,24336.80078125,23484.150390625,24087.25,1091500
2024-11-18,23907.25,23956.099609375,23263.150390625,23605.30078125,1348700
2024-11-25,24131.099609375,24354.55078125,23873.349609375,24253.55078125,1861700
2024-12-02,24677.80078125,24857.75,24008.650390625,24140.849609375,1496100
2024-12-09,24768.30078125,24792.30078125,24180.80078125,24633.900390625,1272600
2024-12-16,23587.5,24781.25,23537.349609375,24753.400390625,1401600
2024-12-23,23813.400390625,23938.849609375,23647.19921875,23738.19921875,722000
2024-12-30,24004.75,24226.69921875,23460.44921875,23796.900390625,1308900
2025-01-06,23431.5,24089.94921875,23344.349609375,24045.80078125,1337000
2025-01-13,23203.19921875,23391.650390625,23047.25,23195.400390625,1428000
2025-01-20,23092.19921875,23426.30078125,22976.849609375,23290.400390625,1430300
2025-01-27,23482.150390625,23632.44921875,22786.900390625,22940.150390625,1793400
2025-02-03,23559.94921875,23807.30078125,23222.0,23319.349609375,1648500
2025-02-10,22929.25,23568.599609375,22774.849609375,23543.80078125,1302100
2025-02-17,22795.900390625,23049.94921875,22720.30078125,22809.900390625,1108600
2025-02-24,22124.69921875,22668.05078125,22104.849609375,22609.349609375,1305100
2025-03-03,22552.5,22633.80078125,21964.599609375,22194.55078125,1503500
2025-03-10,22397.19921875,22676.75,22314.69921875,22521.849609375,1299000
2025-03-17,23350.400390625,23402.69921875,22353.150390625,22353.150390625,1702400
2025-03-24,23519.349609375,23869.599609375,23412.19921875,23515.400390625,1734400
2025-03-31,22904.44921875,23565.150390625,22857.44921875,23341.099609375,1405300
2025-04-07,22828.55078125,22923.900390625,21743.650390625,21758.400390625,1901400
2025-04-14,23851.650390625,23872.349609375,23207.0,23368.349609375,1242000
2025-04-21,24039.349609375,24365.44921875,23847.849609375,23949.150390625,2008500
2025-04-28,24346.69921875,24589.150390625,24054.05078125,24070.25,1523700
2025-05-05,24008.0,24526.400390625,23935.75,24419.5,1671000
2025-05-12,25019.80078125,25116.25,24378.849609375,24420.099609375,2070700
2025-05-19,24853.150390625,25062.94921875,24462.400390625,25005.349609375,1676600
2025-05-26,24750.69921875,25079.19921875,24677.30078125,24919.349609375,2712200
2025-06-02,25003.05078125,25029.5,24502.150390625,24669.69921875,1665300
2025-06-09,24718.599609375,25222.400390625,24473.0,25160.099609375,1534700
2025-06-16,25112.400390625,25136.19921875,24703.599609375,24732.349609375,1635100
2025-06-23,25637.80078125,25654.19921875,24824.849609375,24939.75,1952200
2025-06-30,25461.0,25669.349609375,25331.650390625,25661.650390625,1328400
2025-07-07,25149.849609375,25548.69921875,25129.0,25450.44921875,1115200
2025-07-14,24968.400390625,25255.30078125,24918.650390625,25149.5,1290000
2025-07-21,25131.849609375,25182.0,24882.30078125,24999.0,788900
