Date,Open,High,Low,Close
2025-06-16,536.1500244140625,562.5,529.4500122070312,545.5999755859375
2025-06-17,548.0999755859375,548.0999755859375,533.0,535.2999877929688
2025-06-18,537.5,547.9000244140625,530.1500244140625,541.5499877929688
2025-06-19,536.5999755859375,543.9000244140625,526.0,530.4500122070312
2025-06-20,525.1500244140625,535.5999755859375,525.1500244140625,530.0
2025-06-23,532.7999877929688,532.7999877929688,521.25,524.1500244140625
2025-06-24,528.2000122070312,533.1500244140625,525.0499877929688,530.0999755859375
2025-06-25,532.9000244140625,543.2000122070312,528.4500122070312,541.6500244140625
2025-06-26,544.0,546.9000244140625,532.8499755859375,543.8499755859375
2025-06-27,542.8499755859375,548.4000244140625,541.3499755859375,545.9000244140625
2025-06-30,549.0,562.4500122070312,546.7000122070312,557.75
2025-07-01,560.7000122070312,580.0,558.75,569.8499755859375
2025-07-02,570.0499877929688,572.4500122070312,560.5499877929688,563.5
2025-07-03,565.5,568.0,558.0,561.5
2025-07-04,564.5,568.9500122070312,558.0,564.5
2025-07-07,559.4000244140625,569.0499877929688,549.5,554.5
2025-07-08,555.0,560.3499755859375,550.0,553.6500244140625
2025-07-09,556.5999755859375,556.5999755859375,550.0,552.75
2025-07-10,553.25,556.2000122070312,549.0499877929688,552.0999755859375
2025-07-11,555.0,555.0999755859375,543.6500244140625,545.6500244140625
2025-07-14,546.0,546.5999755859375,540.75,544.7000122070312
