Date,Time,Open,High,Low,Close
2025-07-22,09:15:00,6800.0,6846.0,6748.0,6748.0
2025-07-22,09:16:00,6769.5,6769.5,6699.0,6704.0
2025-07-22,09:17:00,6732.0,6732.0,6725.0,6725.0
2025-07-22,09:18:00,6720.0,6720.0,6699.0,6699.0
2025-07-22,09:19:00,6695.5,6713.0,6695.0,6695.0
2025-07-22,09:20:00,6695.0,6695.0,6695.0,6695.0
2025-07-22,09:21:00,6695.0,6699.0,6685.5,6685.5
2025-07-22,09:22:00,6690.0,6690.0,6685.5,6685.5
2025-07-22,09:24:00,6690.0,6696.5,6690.0,6696.5
2025-07-22,09:25:00,6694.0,6694.0,6680.5,6680.5
2025-07-22,09:26:00,6680.0,6686.0,6680.0,6686.0
2025-07-22,09:27:00,6681.0,6690.5,6680.0,6690.0
2025-07-22,09:28:00,6690.0,6690.0,6690.0,6690.0
2025-07-22,09:29:00,6691.5,6691.5,6691.5,6691.5
2025-07-22,09:30:00,6692.5,6692.5,6692.5,6692.5
2025-07-22,09:31:00,6692.5,6692.5,6692.5,6692.5
2025-07-22,09:32:00,6692.5,6692.5,6691.0,6691.0
2025-07-22,09:33:00,6698.5,6698.5,6698.5,6698.5
2025-07-22,09:34:00,6694.5,6694.5,6694.5,6694.5
2025-07-22,09:36:00,6680.0,6680.0,6680.0,6680.0
2025-07-22,09:38:00,6680.0,6680.0,6680.0,6680.0
2025-07-22,09:39:00,6677.0,6677.0,6675.0,6675.0
2025-07-22,09:40:00,6672.0,6688.5,6672.0,6683.5
2025-07-22,09:41:00,6690.5,6690.5,6690.5,6690.5
2025-07-22,09:44:00,6692.0,6692.0,6692.0,6692.0
2025-07-22,09:46:00,6691.0,6691.0,6691.0,6691.0
2025-07-22,09:48:00,6677.0,6677.0,6677.0,6677.0
2025-07-22,09:49:00,6695.0,6700.0,6690.5,6700.0
2025-07-22,09:50:00,6695.0,6695.0,6695.0,6695.0
2025-07-22,09:52:00,6687.0,6687.0,6687.0,6687.0
2025-07-22,09:53:00,6699.5,6699.5,6699.5,6699.5
2025-07-22,09:55:00,6700.0,6700.0,6700.0,6700.0
2025-07-22,09:56:00,6689.0,6689.0,6689.0,6689.0
2025-07-22,09:57:00,6694.0,6694.0,6694.0,6694.0
2025-07-22,09:58:00,6683.0,6683.0,6683.0,6683.0
2025-07-22,09:59:00,6690.0,6690.0,6690.0,6690.0
2025-07-22,10:02:00,6683.0,6683.0,6683.0,6683.0
2025-07-22,10:03:00,6682.5,6682.5,6682.5,6682.5
2025-07-22,10:04:00,6676.5,6676.5,6676.5,6676.5
2025-07-22,10:07:00,6682.0,6682.0,6682.0,6682.0
2025-07-22,10:08:00,6680.0,6680.0,6680.0,6680.0
2025-07-22,10:09:00,6687.0,6687.0,6687.0,6687.0
2025-07-22,10:10:00,6686.5,6686.5,6686.5,6686.5
2025-07-22,10:12:00,6687.5,6687.5,6687.5,6687.5
2025-07-22,10:13:00,6681.0,6690.0,6681.0,6690.0
2025-07-22,10:15:00,6710.0,6710.0,6710.0,6710.0
2025-07-22,10:20:00,6694.5,6694.5,6694.5,6694.5
2025-07-22,10:21:00,6694.5,6694.5,6694.5,6694.5
2025-07-22,10:23:00,6700.0,6700.0,6700.0,6700.0
2025-07-22,10:25:00,6698.0,6698.0,6698.0,6698.0
2025-07-22,10:27:00,6697.5,6697.5,6697.5,6697.5
2025-07-22,10:29:00,6698.0,6698.0,6698.0,6698.0
2025-07-22,10:30:00,6699.0,6699.0,6699.0,6699.0
2025-07-22,10:32:00,6705.0,6705.0,6705.0,6705.0
2025-07-22,10:34:00,6705.0,6705.0,6705.0,6705.0
2025-07-22,10:36:00,6699.0,6699.0,6699.0,6699.0
2025-07-22,10:39:00,6706.5,6706.5,6706.5,6706.5
2025-07-22,10:41:00,6706.5,6706.5,6706.5,6706.5
2025-07-22,10:44:00,6707.5,6707.5,6707.5,6707.5
2025-07-22,10:46:00,6708.0,6708.0,6695.5,6695.5
2025-07-22,10:48:00,6706.0,6706.5,6706.0,6706.5
2025-07-22,10:50:00,6715.0,6744.5,6715.0,6744.5
2025-07-22,10:52:00,6748.5,6757.5,6748.5,6757.5
2025-07-22,10:53:00,6757.0,6757.0,6757.0,6757.0
2025-07-22,10:54:00,6749.5,6757.5,6749.5,6750.0
2025-07-22,10:55:00,6749.0,6749.0,6749.0,6749.0
2025-07-22,10:56:00,6731.5,6741.0,6731.5,6741.0
2025-07-22,10:57:00,6739.5,6739.5,6739.5,6739.5
2025-07-22,10:58:00,6744.0,6744.0,6744.0,6744.0
2025-07-22,11:00:00,6732.5,6744.0,6732.5,6744.0
