Date,Time,Open,High,Low,Close
2025-05-30,09:15:00,8439.5,8490.0,8400.0,8449.5
2025-05-30,09:30:00,8442.0,8456.0,8424.0,8437.0
2025-05-30,09:45:00,8437.0,8500.0,8429.0,8458.5
2025-05-30,10:00:00,8461.0,8479.5,8440.5,8452.5
2025-05-30,10:15:00,8452.5,8495.0,8432.0,8479.0
2025-05-30,10:30:00,8478.5,8519.0,8448.0,8472.0
2025-05-30,10:45:00,8460.0,8470.0,8436.5,8451.0
2025-05-30,11:00:00,8460.0,8481.5,8460.0,8464.0
2025-05-30,11:15:00,8469.0,8490.0,8460.5,8480.0
2025-05-30,11:30:00,8486.5,8550.5,8486.5,8499.5
2025-05-30,11:45:00,8490.0,8589.0,8490.0,8550.0
2025-05-30,12:00:00,8560.0,8572.0,8540.0,8540.0
2025-05-30,12:15:00,8545.0,8556.0,8544.5,8556.0
2025-05-30,12:30:00,8568.5,8599.0,8549.5,8599.0
2025-05-30,12:45:00,8590.0,8600.0,8530.0,8562.0
2025-05-30,13:00:00,8570.0,8584.5,8560.0,8577.5
2025-05-30,13:15:00,8584.0,8630.0,8580.0,8590.5
2025-05-30,13:30:00,8599.0,8600.0,8580.0,8581.0
2025-05-30,13:45:00,8590.0,8590.0,8556.0,8556.0
2025-05-30,14:00:00,8568.5,8604.0,8568.5,8583.0
2025-05-30,14:15:00,8592.5,8592.5,8566.0,8570.5
2025-05-30,14:30:00,8580.0,8584.0,8535.0,8550.0
2025-05-30,14:45:00,8550.0,8550.0,8492.0,8520.0
2025-05-30,15:00:00,8519.5,8519.5,8490.0,8501.0
2025-05-30,15:15:00,8493.0,8515.0,8478.0,8485.0
2025-06-02,09:15:00,8539.5,8539.5,8461.5,8512.0
2025-06-02,09:30:00,8512.5,8524.5,8479.5,8524.5
2025-06-02,09:45:00,8519.0,8549.5,8515.0,8531.0
2025-06-02,10:00:00,8530.0,8549.0,8522.0,8522.0
2025-06-02,10:15:00,8533.0,8536.0,8519.5,8520.0
2025-06-02,10:30:00,8520.0,8570.0,8520.0,8548.0
2025-06-02,10:45:00,8547.5,8548.0,8534.5,8547.0
2025-06-02,11:00:00,8541.5,8547.5,8530.0,8542.0
2025-06-02,11:15:00,8541.5,8543.5,8521.0,8539.5
2025-06-02,11:30:00,8530.0,8535.5,8521.0,8533.5
2025-06-02,11:45:00,8521.5,8533.5,8511.0,8520.0
2025-06-02,12:00:00,8520.0,8532.5,8518.0,8520.0
2025-06-02,12:15:00,8531.5,8535.0,8516.0,8525.5
2025-06-02,12:30:00,8536.5,8543.0,8528.5,8543.0
2025-06-02,12:45:00,8545.0,8545.0,8510.0,8510.0
2025-06-02,13:00:00,8520.0,8520.0,8501.0,8519.0
2025-06-02,13:15:00,8509.5,8520.0,8509.5,8520.0
2025-06-02,13:30:00,8520.0,8520.0,8507.5,8519.5
2025-06-02,13:45:00,8519.5,8520.0,8510.0,8511.0
2025-06-02,14:00:00,8512.0,8524.5,8512.0,8514.0
2025-06-02,14:15:00,8523.5,8524.5,8514.0,8520.0
2025-06-02,14:30:00,8518.0,8520.0,8510.0,8510.0
2025-06-02,14:45:00,8509.5,8509.5,8481.5,8494.5
2025-06-02,15:00:00,8490.0,8520.0,8490.0,8509.5
2025-06-02,15:15:00,8503.0,8528.5,8503.0,8528.5
2025-06-03,09:15:00,8539.5,8563.0,8513.0,8530.0
2025-06-03,09:30:00,8549.5,8551.5,8530.0,8544.0
2025-06-03,09:45:00,8535.0,8547.0,8516.5,8516.5
2025-06-03,10:00:00,8516.5,8524.5,8470.0,8470.0
2025-06-03,10:15:00,8474.0,8494.5,8468.0,8480.0
2025-06-03,10:30:00,8480.0,8500.0,8472.5,8491.0
2025-06-03,10:45:00,8494.5,8497.0,8461.0,8467.0
2025-06-03,11:00:00,8473.5,8474.5,8456.0,8456.0
2025-06-03,11:15:00,8450.5,8465.0,8442.0,8444.0
2025-06-03,11:30:00,8449.0,8462.5,8444.5,8462.0
2025-06-03,11:45:00,8462.0,8468.5,8458.0,8468.5
2025-06-03,12:00:00,8468.5,8503.0,8468.5,8486.0
2025-06-03,12:15:00,8495.0,8496.0,8465.5,8496.0
2025-06-03,12:30:00,8497.5,8500.0,8473.5,8480.0
